source_file,namespace,type,typedef_index,field_declaration_and_offset
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,private int <Id>k__BackingField; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,private int <LineId>k__BackingField; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,private List<int> <InitItems>k__BackingField; // 0x10
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,private List<int> <OutPut>k__BackingField; // 0x14
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,private List<int> <Weight>k__BackingField; // 0x18
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,private int <MaxWeight>k__BackingField; // 0x1C
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,private List<int> <RewardId>k__BackingField; // 0x20
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,private List<int> <RewardNum>k__BackingField; // 0x24
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopProductAttenuationConfig.cs,,ButterflyWorkShopProductAttenuationConfig,182,private int <Id>k__BackingField; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopProductAttenuationConfig.cs,,ButterflyWorkShopProductAttenuationConfig,182,private int <ProductCount>k__BackingField; // 0xC
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopProductAttenuationConfig.cs,,ButterflyWorkShopProductAttenuationConfig,182,private float <TotalWeightMulti>k__BackingField; // 0x10
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c,187,public static readonly ButterflyWorkShopModel.<>c <>9; // 0x0
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c,187,public static Action <>9__42_0; // 0x4
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c,187,public static Predicate<StageRewardConfig> <>9__57_0; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass13_0,188,public int level; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass38_0,189,public Vector3 position; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass38_0,189,public Action action; // 0x14
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass42_0,190,public Vector3 position; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass42_0,190,public Action action; // 0x14
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass47_0,191,public TableShop tableShop; // 0x8
