source_file,namespace,type,typedef_index,managed_signature,rva,native_entry,native_status,native_quality_flags,native_file,native_asm_file,native_asm_interval_end,native_asm_interval_capped,native_flow_override,native_flow_override_instruction_rva,native_flow_override_target_rva,native_recovery_note,dumper_block
code/AssetRipper_generated_CSharp/Assembly-CSharp/TableBase.cs,,TableBase,36,public virtual int GetID() { },0x15EE100,015fe100,decompiled_rebased_without_autoanalysis,unknown_native_type,code/Ghidra_native_pseudocode/15ee100.c,,,,,,,,code/Il2CppDumper_type_signatures/00036.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/TableBase.cs,,TableBase,36,public void .ctor() { },0x15EE154,015fe154,decompiled_rebased_without_autoanalysis,unknown_native_type,code/Ghidra_native_pseudocode/15ee154.c,,,,,,,,code/Il2CppDumper_type_signatures/00036.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public int get_Id() { },0x29EBB08,029fbb08,decompiled_rebased_without_autoanalysis,unknown_native_type,code/Ghidra_native_pseudocode/29ebb08.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public void set_Id(int value) { },0x29EBB10,029fbb10,decompiled_rebased_without_autoanalysis,unknown_native_type,code/Ghidra_native_pseudocode/29ebb10.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public int get_LineId() { },0x29EBB18,029fbb18,decompiled_rebased_without_autoanalysis,unknown_native_type,code/Ghidra_native_pseudocode/29ebb18.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public void set_LineId(int value) { },0x29EBB20,029fbb20,decompiled_rebased_without_autoanalysis,unknown_native_type,code/Ghidra_native_pseudocode/29ebb20.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public List<int> get_InitItems() { },0x29EBB28,029fbb28,decompiled_rebased_without_autoanalysis,unknown_native_type,code/Ghidra_native_pseudocode/29ebb28.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public void set_InitItems(List<int> value) { },0x29EBB30,029fbb30,decompiled_rebased_without_autoanalysis,ghidra_warning_comment;unknown_native_type,code/Ghidra_native_pseudocode/29ebb30.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public List<int> get_OutPut() { },0x29EBB38,029fbb38,decompiled_rebased_without_autoanalysis,unknown_native_type,code/Ghidra_native_pseudocode/29ebb38.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public void set_OutPut(List<int> value) { },0x29EBB40,029fbb40,decompiled_rebased_without_autoanalysis,ghidra_warning_comment;unknown_native_type,code/Ghidra_native_pseudocode/29ebb40.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public List<int> get_Weight() { },0x29EBB48,029fbb48,decompiled_rebased_without_autoanalysis,unknown_native_type,code/Ghidra_native_pseudocode/29ebb48.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public void set_Weight(List<int> value) { },0x29EBB50,029fbb50,decompiled_rebased_without_autoanalysis,ghidra_warning_comment;unknown_native_type,code/Ghidra_native_pseudocode/29ebb50.c,,,,,,,,code/Il2CppDumper_type_signatures/00180.txt
