source_file,namespace,type,typedef_index,declaration_with_inheritance_and_interfaces,dumper_block
code/AssetRipper_generated_CSharp/Assembly-CSharp/TableBase.cs,,TableBase,36,public class TableBase // TypeDefIndex: 36,code/Il2CppDumper_type_signatures/00036.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopConfig.cs,,ButterflyWorkShopConfig,180,public class ButterflyWorkShopConfig : TableBase // TypeDefIndex: 180,code/Il2CppDumper_type_signatures/00180.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopProductAttenuationConfig.cs,,ButterflyWorkShopProductAttenuationConfig,182,public class ButterflyWorkShopProductAttenuationConfig : TableBase // TypeDefIndex: 182,code/Il2CppDumper_type_signatures/00182.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopMergeBoard.cs,,ButterflyWorkShopMergeBoard,186,public class ButterflyWorkShopMergeBoard : MergeBoard // TypeDefIndex: 186,code/Il2CppDumper_type_signatures/00186.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c,187,private sealed class ButterflyWorkShopModel.<>c // TypeDefIndex: 187,code/Il2CppDumper_type_signatures/00187.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass13_0,188,private sealed class ButterflyWorkShopModel.<>c__DisplayClass13_0 // TypeDefIndex: 188,code/Il2CppDumper_type_signatures/00188.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass38_0,189,private sealed class ButterflyWorkShopModel.<>c__DisplayClass38_0 // TypeDefIndex: 189,code/Il2CppDumper_type_signatures/00189.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass42_0,190,private sealed class ButterflyWorkShopModel.<>c__DisplayClass42_0 // TypeDefIndex: 190,code/Il2CppDumper_type_signatures/00190.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass47_0,191,private sealed class ButterflyWorkShopModel.<>c__DisplayClass47_0 // TypeDefIndex: 191,code/Il2CppDumper_type_signatures/00191.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass48_0,192,private sealed class ButterflyWorkShopModel.<>c__DisplayClass48_0 // TypeDefIndex: 192,code/Il2CppDumper_type_signatures/00192.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass58_0,193,private sealed class ButterflyWorkShopModel.<>c__DisplayClass58_0 // TypeDefIndex: 193,code/Il2CppDumper_type_signatures/00193.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass59_0,194,private sealed class ButterflyWorkShopModel.<>c__DisplayClass59_0 // TypeDefIndex: 194,code/Il2CppDumper_type_signatures/00194.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<>c__DisplayClass62_0,195,private sealed class ButterflyWorkShopModel.<>c__DisplayClass62_0 // TypeDefIndex: 195,code/Il2CppDumper_type_signatures/00195.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<OnNewItem>d__64,196,private struct ButterflyWorkShopModel.<OnNewItem>d__64 : IAsyncStateMachine // TypeDefIndex: 196,code/Il2CppDumper_type_signatures/00196.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel.<OnUseItem>d__62,197,private struct ButterflyWorkShopModel.<OnUseItem>d__62 : IAsyncStateMachine // TypeDefIndex: 197,code/Il2CppDumper_type_signatures/00197.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/ButterflyWorkShopModel.cs,,ButterflyWorkShopModel,198,public class ButterflyWorkShopModel : ActivityEntityBase // TypeDefIndex: 198,code/Il2CppDumper_type_signatures/00198.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel.<>c__DisplayClass47_0,263,private sealed class CatSwimmingModel.<>c__DisplayClass47_0 // TypeDefIndex: 263,code/Il2CppDumper_type_signatures/00263.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel.<>c__DisplayClass48_0,264,private sealed class CatSwimmingModel.<>c__DisplayClass48_0 // TypeDefIndex: 264,code/Il2CppDumper_type_signatures/00264.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel.<>c__DisplayClass49_0,265,private sealed class CatSwimmingModel.<>c__DisplayClass49_0 // TypeDefIndex: 265,code/Il2CppDumper_type_signatures/00265.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel.<>c__DisplayClass50_0,266,private sealed class CatSwimmingModel.<>c__DisplayClass50_0 // TypeDefIndex: 266,code/Il2CppDumper_type_signatures/00266.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel.<>c__DisplayClass51_0,267,private sealed class CatSwimmingModel.<>c__DisplayClass51_0 // TypeDefIndex: 267,code/Il2CppDumper_type_signatures/00267.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel.<>c__DisplayClass53_0,268,private sealed class CatSwimmingModel.<>c__DisplayClass53_0 // TypeDefIndex: 268,code/Il2CppDumper_type_signatures/00268.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel.<>c__DisplayClass53_1,269,private sealed class CatSwimmingModel.<>c__DisplayClass53_1 // TypeDefIndex: 269,code/Il2CppDumper_type_signatures/00269.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel.<AddActivityScore>d__50,270,private struct CatSwimmingModel.<AddActivityScore>d__50 : IAsyncStateMachine // TypeDefIndex: 270,code/Il2CppDumper_type_signatures/00270.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel.<AddScore>d__35,271,private struct CatSwimmingModel.<AddScore>d__35 : IAsyncStateMachine // TypeDefIndex: 271,code/Il2CppDumper_type_signatures/00271.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/CatSwimmingModel.cs,,CatSwimmingModel,272,public class CatSwimmingModel : ActivityEntityBase // TypeDefIndex: 272,code/Il2CppDumper_type_signatures/00272.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/FishCultureModel.cs,,FishCultureModel.<>c,544,private sealed class FishCultureModel.<>c // TypeDefIndex: 544,code/Il2CppDumper_type_signatures/00544.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/FishCultureModel.cs,,FishCultureModel.<>c__DisplayClass35_0,545,private sealed class FishCultureModel.<>c__DisplayClass35_0 // TypeDefIndex: 545,code/Il2CppDumper_type_signatures/00545.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/FishCultureModel.cs,,FishCultureModel.<>c__DisplayClass38_0,546,private sealed class FishCultureModel.<>c__DisplayClass38_0 // TypeDefIndex: 546,code/Il2CppDumper_type_signatures/00546.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/FishCultureModel.cs,,FishCultureModel.<>c__DisplayClass38_1,547,private sealed class FishCultureModel.<>c__DisplayClass38_1 // TypeDefIndex: 547,code/Il2CppDumper_type_signatures/00547.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/FishCultureModel.cs,,FishCultureModel.<>c__DisplayClass41_0,548,private sealed class FishCultureModel.<>c__DisplayClass41_0 // TypeDefIndex: 548,code/Il2CppDumper_type_signatures/00548.txt
