address	type_file	method	status	function_entry	detail
0x036ED95C	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Actions/Multi/TryMergeBoardMerge.txt	Metaplay.Core.Model.MetaActionResult Execute(GameLogic.Player.PlayerModel player, System.Boolean commit)	decompiled	037ed95c	
0x036EE3E8	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Actions/Multi/TryMergeBoardProcessActivationForCoordinate.txt	Metaplay.Core.Model.MetaActionResult Execute(GameLogic.Player.PlayerModel player, System.Boolean commit)	decompiled	037ee3e8	
0x03675880	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Board/MergeBoard.txt	System.Boolean NeedsUpdate(GameLogic.Player.IPlayer player, GameLogic.Config.Types.MetacoreTime endTimestamp)	decompiled	03775880	
0x03675B80	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Board/MergeBoard.txt	System.Void Update(GameLogic.Player.IPlayer player, GameLogic.Config.Types.MetacoreTime endTimestamp, GameLogic.Random.IGenerationContext generationContext, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs)	decompiled	03775b80	
0x03679224	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Board/MergeBoard.txt	MergeResult ProcessMergeOrMoveAttempt(GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition, GameLogic.Config.Types.MetacoreTime timeForMergeOrMove, GameLogic.Player.IPlayer player, GameLogic.Player.Items.Bubble.IBubbleSpawner bubbleSpawner, GameLogic.Player.Items.ProgressionEvent.IProgressionEventItemSpawner progressionEventItemSpawner, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs)	decompiled	03779224	
0x0367BB50	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Board/MergeBoard.txt	System.Void ProcessActivationForCoordinate(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate coordinate, GameLogic.Config.Types.MetacoreTime timeForActivation, GameLogic.Random.IGenerationContext generationContext, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs, GameLogic.Player.Board.ActivationAuxiliarContext activationAuxiliarContext, out GameLogic.Merge.ActivationCostData activationCostData)	decompiled	0377bb50	
0x03680064	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Board/MergeBoard.txt	GameLogic.Merge.MergeBoardAct SpawnToBoard(GameLogic.Player.IPlayer player, GameLogic.Player.Items.IItemDefinition definition, GameLogic.Player.Board.Coordinate spawnedFrom, GameLogic.Config.Types.MetacoreTime timeForActivation, System.Boolean bubbled, GameLogic.Random.IGenerationContext generationContext, GameLogic.Merge.MergeBoardAct+ItemActSource source)	decompiled	03780064	
0x03680158	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Board/MergeBoard.txt	System.Void ProcessChestClickForCoordinate(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate coordinate, GameLogic.Config.Types.MetacoreTime timestamp, GameLogic.Random.IGenerationContext generationContext, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs)	decompiled	03780158	
0x036830C4	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Board/MergeBoard.txt	System.Void ProcessUnlockItemForCoordinate(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate coordinate, GameLogic.Config.Types.MetacoreTime currentTime, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs)	decompiled	037830c4	
0x03683B3C	native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/GameLogic/Player/Board/MergeBoard.txt	System.Boolean WouldBeValidMergeAttempt(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition, Metaplay.Core.MetaTime actionTimestamp)	decompiled	03783b3c	
