address,signature,ghidra_file,arm64_instructions,pseudocode_lines,line_to_instruction_ratio,cpp2il_range_ghidra,max_ghidra_label,label_overrun_bytes,label_underrun_bytes,quality_screen
0x0372A9B0,"Metaplay.Core.Model.MetaActionResult Execute(GameLogic.Player.PlayerModel player, System.Boolean commit)",native/Ghidra-C/0x0372A9B0.c,131,82,0.63,0x0382A9B0-0x0382ABBB,0x0382AB9C,0,0,candidate_for_manual_review
0x036ED95C,"Metaplay.Core.Model.MetaActionResult Execute(GameLogic.Player.PlayerModel player, System.Boolean commit)",native/Ghidra-C/0x036ED95C.c,650,315,0.48,0x037ED95C-0x037EE383,0x037EE380,0,0,candidate_for_manual_review
0x036EE3E8,"Metaplay.Core.Model.MetaActionResult Execute(GameLogic.Player.PlayerModel player, System.Boolean commit)",native/Ghidra-C/0x036EE3E8.c,1092,560,0.51,0x037EE3E8-0x037EF4F7,0x037EF4EC,0,0,candidate_for_manual_review
0x0366E0DC,"System.Collections.Generic.IEnumerable`1<System.ValueTuple`2<GameLogic.Player.Board.Coordinate, GameLogic.Player.Items.MergeItem>> Items(GameLogic.Player.Board.IBoard mergeBoard)",native/Ghidra-C/0x0366E0DC.c,67,1647,24.58,0x0376E0DC-0x0376E1E7,0x026EC9F0,0,17322436,out_of_range_control_flow
0x03668B90,System.Collections.Generic.IEnumerable`1<GameLogic.Player.Items.MergeItem> VisibleItems(GameLogic.Player.Board.IBoard mergeBoard),native/Ghidra-C/0x03668B90.c,95,1668,17.56,0x03768B90-0x03768D0B,0x03768C54,0,17300600,out_of_range_control_flow
0x0366E4E4,"System.Collections.Generic.IEnumerable`1<System.ValueTuple`2<GameLogic.Player.Board.Coordinate, GameLogic.Player.Items.MergeItem>> FindAllBoosterItems(GameLogic.Player.Board.IBoard mergeBoard, GameLogic.Player.IPlayer player)",native/Ghidra-C/0x0366E4E4.c,61,918,15.05,0x0376E4E4-0x0376E5D7,,0,0,expanded_output
0x0366E5E0,"System.Collections.Generic.IEnumerable`1<System.ValueTuple`2<GameLogic.Player.Board.Coordinate, GameLogic.Player.Items.MergeItem>> FindSpecificBoosterItems(GameLogic.Player.Board.IBoard mergeBoard, System.String id, GameLogic.Player.IPlayer player)",native/Ghidra-C/0x0366E5E0.c,66,918,13.91,0x0376E5E0-0x0376E6E7,,0,0,expanded_output
0x0366E930,"System.Collections.Generic.IEnumerable`1<GameLogic.Player.Board.Coordinate> FindAllActivableAndVisibleItems(GameLogic.Player.Board.IBoard mergeBoard, GameLogic.Player.IPlayer player)",native/Ghidra-C/0x0366E930.c,114,848,7.44,0x0376E930-0x0376EAF7,,0,0,expanded_output
0x0366EE38,"GameLogic.Player.Board.Coordinate FindFirstItemOfCertainType(GameLogic.Player.Board.IBoard mergeBoard, System.Int32 itemId)",native/Ghidra-C/0x0366EE38.c,147,42,0.29,0x0376EE38-0x0376F083,,0,0,candidate_for_manual_review
0x0366F08C,"System.Collections.Generic.IEnumerable`1<GameLogic.Player.Board.Coordinate> FindAllCoordinatesOfCertainItemType(GameLogic.Player.Board.IBoard mergeBoard, System.Int32 it)",native/Ghidra-C/0x0366F08C.c,111,848,7.64,0x0376F08C-0x0376F247,,0,0,expanded_output
0x0366F250,"System.Collections.Generic.IEnumerable`1<System.ValueTuple`2<GameLogic.Player.Board.Coordinate, GameLogic.Player.Items.MergeItem>> FindItems(GameLogic.Player.Board.IBoard mergeBoard, System.Predicate`1<GameLogic.Player.Items.MergeItem> predicate)",native/Ghidra-C/0x0366F250.c,61,918,15.05,0x0376F250-0x0376F343,,0,0,expanded_output
0x03675880,"System.Boolean NeedsUpdate(GameLogic.Player.IPlayer player, GameLogic.Config.Types.MetacoreTime endTimestamp)",native/Ghidra-C/0x03675880.c,191,1080,5.65,0x03775880-0x03775B7B,0x03775AE8,0,0,expanded_output
0x03675B80,"System.Void Update(GameLogic.Player.IPlayer player, GameLogic.Config.Types.MetacoreTime endTimestamp, GameLogic.Random.IGenerationContext generationContext, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs)",native/Ghidra-C/0x03675B80.c,2037,1141,0.56,0x03775B80-0x03777B53,0x03778908,3509,0,out_of_range_control_flow
0x03678CA4,"System.Boolean TryToSpawnFromSpawner(GameLogic.Player.IPlayer player, Metaplay.Core.MetaTime timestamp, GameLogic.Player.Items.MergeItem item, System.Collections.Generic.ICollection`1<GameLogic.Player.Board.Coordinate> possibleSpawnCoordinates, System.Boolean takeFromStorage, GameLogic.Random.IGenerationContext generationContext, out GameLogic.Player.Board.Coordinate spawnCoordinate)",native/Ghidra-C/0x03678CA4.c,352,256,0.73,0x03778CA4-0x03779223,0x03779220,0,0,candidate_for_manual_review
0x03679224,"MergeResult ProcessMergeOrMoveAttempt(GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition, GameLogic.Config.Types.MetacoreTime timeForMergeOrMove, GameLogic.Player.IPlayer player, GameLogic.Player.Items.Bubble.IBubbleSpawner bubbleSpawner, GameLogic.Player.Items.ProgressionEvent.IProgressionEventItemSpawner progressionEventItemSpawner, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs)",native/Ghidra-C/0x03679224.c,58,26,0.45,0x03779224-0x0377930B,,0,0,candidate_for_manual_review
0x0367BB50,"System.Void ProcessActivationForCoordinate(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate coordinate, GameLogic.Config.Types.MetacoreTime timeForActivation, GameLogic.Random.IGenerationContext generationContext, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs, GameLogic.Player.Board.ActivationAuxiliarContext activationAuxiliarContext, out GameLogic.Merge.ActivationCostData activationCostData)",native/Ghidra-C/0x0367BB50.c,1787,1172,0.66,0x0377BB50-0x0377D73B,0x0377D6D8,0,0,candidate_for_manual_review
0x03680064,"GameLogic.Merge.MergeBoardAct SpawnToBoard(GameLogic.Player.IPlayer player, GameLogic.Player.Items.IItemDefinition definition, GameLogic.Player.Board.Coordinate spawnedFrom, GameLogic.Config.Types.MetacoreTime timeForActivation, System.Boolean bubbled, GameLogic.Random.IGenerationContext generationContext, GameLogic.Merge.MergeBoardAct+ItemActSource source)",native/Ghidra-C/0x03680064.c,61,47,0.77,0x03780064-0x03780157,,0,0,candidate_for_manual_review
0x03680158,"System.Void ProcessChestClickForCoordinate(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate coordinate, GameLogic.Config.Types.MetacoreTime timestamp, GameLogic.Random.IGenerationContext generationContext, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs)",native/Ghidra-C/0x03680158.c,431,3899,9.05,0x03780158-0x03780813,0x03783A30,12829,645204,out_of_range_control_flow
0x03680814,"System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> ProcessCollectForCoordinate(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate coordinate, Metaplay.Core.MetaTime timeForCollecting, GameLogic.Random.IGenerationContext generationContext)",native/Ghidra-C/0x03680814.c,146,3549,24.31,0x03780814-0x03780A5B,0x03783A30,12245,646928,out_of_range_control_flow
0x03680A5C,"System.Boolean ProcessSellForCoordinate(GameLogic.Player.Board.Coordinate sellCoordinate, GameLogic.Config.Types.MetacoreTime timeForSelling, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs, GameLogic.Player.IPlayer player, System.Boolean checkTagRestriction)",native/Ghidra-C/0x03680A5C.c,99,3454,34.89,0x03780A5C-0x03780BE7,0x03783A30,11849,647512,out_of_range_control_flow
0x036830C4,"System.Void ProcessUnlockItemForCoordinate(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate coordinate, GameLogic.Config.Types.MetacoreTime currentTime, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> collectedActs)",native/Ghidra-C/0x036830C4.c,104,454,4.37,0x037830C4-0x03783263,0x03783780,1309,0,out_of_range_control_flow
0x036837F8,"System.Boolean WouldBeValidSinkAttempt(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition, out System.Boolean outIsReverse)",native/Ghidra-C/0x036837F8.c,108,68,0.63,0x037837F8-0x037839A7,,0,0,candidate_for_manual_review
0x03683A44,"GameLogic.Player.Items.Consumption.IConsumptionCheckResult WouldBeValidConsumeAttempt(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition, GameLogic.Config.Types.MetacoreTime currentTime)",native/Ghidra-C/0x03683A44.c,62,1129,18.21,0x03783A44-0x03783B3B,0x03783AA4,0,568024,out_of_range_control_flow
0x03683B3C,"System.Boolean WouldBeValidMergeAttempt(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition, Metaplay.Core.MetaTime actionTimestamp)",native/Ghidra-C/0x03683B3C.c,81,3109,38.38,0x03783B3C-0x03783C7F,0x03787788,15113,695036,out_of_range_control_flow
0x036839A8,"System.Boolean InvalidOrSameCoordinates(GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition)",native/Ghidra-C/0x036839A8.c,39,34,0.87,0x037839A8-0x03783A43,,0,0,candidate_for_manual_review
0x0367930C,"MergeResult GetMoveResult(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition, GameLogic.Config.Types.MetacoreTime actionTimestamp)",native/Ghidra-C/0x0367930C.c,291,226,0.78,0x0377930C-0x03779797,0x03779794,0,0,candidate_for_manual_review
0x03679798,"GameLogic.Player.Board.Coordinate ProcessMove(GameLogic.Player.IPlayer player, GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition, GameLogic.Config.Types.MetacoreTime timeForMergeOrMove)",native/Ghidra-C/0x03679798.c,53,34,0.64,0x03779798-0x0377986B,,0,0,candidate_for_manual_review
0x0367986C,"GameLogic.Player.Board.Coordinate ProcessSwap(GameLogic.Player.Board.Coordinate fromPosition, GameLogic.Player.Board.Coordinate toPosition, GameLogic.Config.Types.MetacoreTime timeForMergeOrMove, GameLogic.Player.IPlayer player, System.Boolean checkForEmptySlots = True)",native/Ghidra-C/0x0367986C.c,344,2730,7.94,0x0377986C-0x03779DCB,0x0377D6D8,14605,0,out_of_range_control_flow
0x03683264,"System.Void UpdateVisibilityOfNeighborsRecursive(GameLogic.Player.IPlayer player, System.Collections.Generic.ICollection`1<GameLogic.Merge.MergeBoardAct> mergeBoardActs, GameLogic.Player.Board.Coordinate position, GameLogic.Config.Types.MetacoreTime currentTime)",native/Ghidra-C/0x03683264.c,357,352,0.99,0x03783264-0x037837F7,0x03783780,0,0,candidate_for_manual_review
