source_native_file,source_method,target_symbol,retained_target_files,target_file_count
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Boolean get_IsActive(),AutoMergeFeatureModel.get_IsAvailable,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Void .ctor(),Object..ctor,,0
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void AddDuration(GameLogic.Config.Types.MetacoreTime startTime, GameLogic.Config.Types.MetacoreDuration duration, Code.GameLogic.AutoMerge.AutoMergeSource source, GameLogic.Player.IPlayerModelClientListener clientListener)",AutoMergeFeatureModel.get_IsAvailable,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void AddDuration(GameLogic.Config.Types.MetacoreTime startTime, GameLogic.Config.Types.MetacoreDuration duration, Code.GameLogic.AutoMerge.AutoMergeSource source, GameLogic.Player.IPlayerModelClientListener clientListener)",AutoMergeFeatureModel.get_IsAvailable,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void AddDuration(GameLogic.Config.Types.MetacoreTime startTime, GameLogic.Config.Types.MetacoreDuration duration, Code.GameLogic.AutoMerge.AutoMergeSource source, GameLogic.Player.IPlayerModelClientListener clientListener)",MetacoreTime.op_GreaterThanOrEqual,source/AssetRipper/Metacore.MergeMansion.SharedLogic/GameLogic/Config/Types/MetacoreTime.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void AddDuration(GameLogic.Config.Types.MetacoreTime startTime, GameLogic.Config.Types.MetacoreDuration duration, Code.GameLogic.AutoMerge.AutoMergeSource source, GameLogic.Player.IPlayerModelClientListener clientListener)",MetacoreTime.op_Addition,source/AssetRipper/Metacore.MergeMansion.SharedLogic/GameLogic/Config/Types/MetacoreTime.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void AddDuration(GameLogic.Config.Types.MetacoreTime startTime, GameLogic.Config.Types.MetacoreDuration duration, Code.GameLogic.AutoMerge.AutoMergeSource source, GameLogic.Player.IPlayerModelClientListener clientListener)",MetacoreTime.op_Addition,source/AssetRipper/Metacore.MergeMansion.SharedLogic/GameLogic/Config/Types/MetacoreTime.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void AddDuration(GameLogic.Config.Types.MetacoreTime startTime, GameLogic.Config.Types.MetacoreDuration duration, Code.GameLogic.AutoMerge.AutoMergeSource source, GameLogic.Player.IPlayerModelClientListener clientListener)",AutoMergeFeatureModel.NotifyIfChanged,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void SetUserToggle(System.Boolean enabled, GameLogic.Player.IPlayerModelClientListener clientListener)",AutoMergeFeatureModel.get_IsAvailable,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void SetUserToggle(System.Boolean enabled, GameLogic.Player.IPlayerModelClientListener clientListener)",AutoMergeFeatureModel.get_IsAvailable,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void SetUserToggle(System.Boolean enabled, GameLogic.Player.IPlayerModelClientListener clientListener)",AutoMergeFeatureModel.NotifyIfChanged,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void OnGameTick(Metaplay.Core.MetaTime currentTime, GameLogic.Player.IPlayerModelClientListener clientListener)",MetacoreTime.op_Implicit,source/AssetRipper/Metacore.MergeMansion.SharedLogic/GameLogic/Config/Types/MetacoreTime.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void OnGameTick(Metaplay.Core.MetaTime currentTime, GameLogic.Player.IPlayerModelClientListener clientListener)",MetacoreTime.op_GreaterThan,source/AssetRipper/Metacore.MergeMansion.SharedLogic/GameLogic/Config/Types/MetacoreTime.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void OnGameTick(Metaplay.Core.MetaTime currentTime, GameLogic.Player.IPlayerModelClientListener clientListener)",AutoMergeFeatureModel.ForceDeactivate,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Void ForceDeactivate(GameLogic.Player.IPlayerModelClientListener clientListener),AutoMergeFeatureModel.get_IsAvailable,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Void ForceDeactivate(GameLogic.Player.IPlayerModelClientListener clientListener),AutoMergeFeatureModel.get_IsAvailable,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Void ForceDeactivate(GameLogic.Player.IPlayerModelClientListener clientListener),AutoMergeFeatureModel.NotifyIfChanged,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,1
