assembly,type_file,native_file,signature,address,arm64_instructions,isil_instructions,status,ghidra_status,ghidra_file,ghidra_detail
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Boolean get_IsUserToggleOn(),0x037D7988,2,2,native_disassembly_and_isil,,,
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Void set_IsUserToggleOn(System.Boolean value),0x037D7990,2,2,native_disassembly_and_isil,,,
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Nullable`1<GameLogic.Config.Types.MetacoreTime> get_AvailableSince(),0x037D7998,3,4,native_disassembly_and_isil,,,
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Void set_AvailableSince(System.Nullable`1<GameLogic.Config.Types.MetacoreTime> value),0x037D79A4,2,3,native_disassembly_and_isil,,,
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Nullable`1<GameLogic.Config.Types.MetacoreTime> get_AvailableUntil(),0x037D79AC,3,4,native_disassembly_and_isil,,,
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Void set_AvailableUntil(System.Nullable`1<GameLogic.Config.Types.MetacoreTime> value),0x037D79B8,2,3,native_disassembly_and_isil,,,
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Boolean get_IsAvailable(),0x037D79C0,32,40,native_disassembly_and_isil,,,
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Boolean get_IsActive(),0x037D7A40,11,15,native_disassembly_and_isil,,,
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,System.Void .ctor(),0x037D7A6C,2,3,native_disassembly_and_isil,,,
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,native/Cpp2IL-ISIL/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.txt,"System.Void AddDuration(GameLogic.Config.Types.MetacoreTime startTime, GameLogic.Config.Types.MetacoreDuration duration, Code.GameLogic.AutoMerge.AutoMergeSource source, GameLogic.Player.IPlayerModelClientListener clientListener)",0x037D7A74,168,185,native_disassembly_and_isil,,,
