assembly,type_file,source_file,line,namespace,kind,name,declaration,role
Metacore.MergeMansion.SharedLogic,ActivationPlacementStyle.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/ActivationPlacementStyle.cs,4,,enum,ActivationPlacementStyle,public enum ActivationPlacementStyle,玩法基础类型与流程
Metacore.MergeMansion.SharedLogic,ActivationResult.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/ActivationResult.cs,4,,enum,ActivationResult,public enum ActivationResult,玩法基础类型与流程
Metacore.MergeMansion.SharedLogic,BoardStepResult.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/BoardStepResult.cs,1,,enum,BoardStepResult,public enum BoardStepResult,玩法基础类型与流程
Metacore.MergeMansion.SharedLogic,BoostAreaStyle.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/BoostAreaStyle.cs,4,,enum,BoostAreaStyle,public enum BoostAreaStyle,玩法基础类型与流程
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,10,Code.GameLogic.AutoMerge,class,AutoMergeFeatureModel,public class AutoMergeFeatureModel : IAutoMergeFeatureModel,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeSource.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeSource.cs,6,Code.GameLogic.AutoMerge,enum,AutoMergeSource,public enum AutoMergeSource,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,9,Code.GameLogic.AutoMerge,interface,IAutoMergeFeatureModel,public interface IAutoMergeFeatureModel,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/Config/IConfigItemSource.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/Config/IConfigItemSource.cs,5,Code.GameLogic.Config,interface,"IConfigItemSource<TConfigItem,","public interface IConfigItemSource<TConfigItem, TKey> : IGameConfigSourceItem<TKey, TConfigItem>, IHasGameConfigKey<TKey> where TConfigItem : IGameConfigData<TKey>",玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/Config/IValidatable.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/Config/IValidatable.cs,6,Code.GameLogic.Config,interface,IValidatable,public interface IValidatable,基类与直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/Config/MergeBoardDisplay.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/Config/MergeBoardDisplay.cs,7,Code.GameLogic.Config,enum,MergeBoardDisplay,public enum MergeBoardDisplay,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/Config/MergeBoardUIStyle.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/Config/MergeBoardUIStyle.cs,7,Code.GameLogic.Config,enum,MergeBoardUIStyle,public enum MergeBoardUIStyle,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/Config/TasksTabStyle.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/Config/TasksTabStyle.cs,7,Code.GameLogic.Config,enum,TasksTabStyle,public enum TasksTabStyle,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/BubbleCostMultiplierFormula.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/BubbleCostMultiplierFormula.cs,9,Code.GameLogic.ExtraSpawns,class,BubbleCostMultiplierFormula,public class BubbleCostMultiplierFormula : IExtraSpawnFormula,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/CompleteTaskTrigger.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/CompleteTaskTrigger.cs,8,Code.GameLogic.ExtraSpawns,class,CompleteTaskTrigger,public class CompleteTaskTrigger : IExtraSpawnTrigger,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/CoreSupportEventExtraSpawnGroupId.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/CoreSupportEventExtraSpawnGroupId.cs,7,Code.GameLogic.ExtraSpawns,class,CoreSupportEventExtraSpawnGroupId,public class CoreSupportEventExtraSpawnGroupId : StringId<CoreSupportEventExtraSpawnGroupId>,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnAmountRange.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnAmountRange.cs,8,Code.GameLogic.ExtraSpawns,struct,ExtraSpawnAmountRange,public struct ExtraSpawnAmountRange,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnBoardData.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnBoardData.cs,6,Code.GameLogic.ExtraSpawns,struct,ExtraSpawnBoardData,public struct ExtraSpawnBoardData,玩法模型直接依赖
Metacore.MergeMansion.SharedLogic,Code/GameLogic/ExtraSpawns/ExtraSpawnCurrencyValueInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/ExtraSpawns/ExtraSpawnCurrencyValueInfo.cs,12,Code.GameLogic.ExtraSpawns,class,ExtraSpawnCurrencyValueInfo,"public class ExtraSpawnCurrencyValueInfo : IGameConfigData<Currencies>, IGameConfigData, IHasGameConfigKey<Currencies>, IValidatable",玩法模型直接依赖
