assembly,type_file,file,line,signature,classification
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,52,public AutoMergeFeatureModel() { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,54,"public override void AddDuration(MetacoreTime startTime, MetacoreDuration duration, AutoMergeSource source, IPlayerModelClientListener clientListener) { }",generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,56,public override void ForceDeactivate(IPlayerModelClientListener clientListener) { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,59,public override Nullable<MetacoreTime> get_AvailableSince() { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,62,public override Nullable<MetacoreTime> get_AvailableUntil() { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,64,public override bool get_IsActive() { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,66,public override bool get_IsAvailable() { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,69,public override bool get_IsUserToggleOn() { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,71,"private void NotifyIfChanged(bool wasAvailable, bool wasActive, IPlayerModelClientListener clientListener) { }",generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,73,"public override void OnGameTick(MetaTime currentTime, IPlayerModelClientListener clientListener) { }",generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,76,private void set_AvailableSince(Nullable<MetacoreTime> value) { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,79,private void set_AvailableUntil(Nullable<MetacoreTime> value) { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,82,private void set_IsUserToggleOn(bool value) { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/AutoMergeFeatureModel.cs,84,"public override void SetUserToggle(bool enabled, IPlayerModelClientListener clientListener) { }",generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,32,"public void AddDuration(MetacoreTime startTime, MetacoreDuration duration, AutoMergeSource source, IPlayerModelClientListener clientListener) { }",generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,34,public void ForceDeactivate(IPlayerModelClientListener clientListener) { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,36,public Nullable<MetacoreTime> get_AvailableSince() { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,38,public Nullable<MetacoreTime> get_AvailableUntil() { },generated_empty_body
Metacore.MergeMansion.SharedLogic,Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,structure/Cpp2IL-DiffableCs/Metacore.MergeMansion.SharedLogic/Code/GameLogic/AutoMerge/IAutoMergeFeatureModel.cs,40,public bool get_IsActive() { },generated_empty_body
