TypeDefIndex	Namespace	Type	RVA	Signature	AssetRipperFile	Il2CppDumperBlock	NativePseudocodeFile	Recovery
26		DraggableItem	175E11C	private void OnMouseDown() { }	DraggableItem.cs	code/Il2CppDumper/type_blocks/00026_DraggableItem.txt		signature only
26		DraggableItem	175E1E0	private void OnMouseDrag() { }	DraggableItem.cs	code/Il2CppDumper/type_blocks/00026_DraggableItem.txt		signature only
26		DraggableItem	175E2C0	private void OnMouseUp() { }	DraggableItem.cs	code/Il2CppDumper/type_blocks/00026_DraggableItem.txt		signature only
26		DraggableItem	175E2CC	private void OnTriggerEnter2D(Collider2D other) { }	DraggableItem.cs	code/Il2CppDumper/type_blocks/00026_DraggableItem.txt		signature only
26		DraggableItem	175E2D0	private void OnTriggerExit2D(Collider2D other) { }	DraggableItem.cs	code/Il2CppDumper/type_blocks/00026_DraggableItem.txt		signature only
26		DraggableItem	175E2D4	private void OnTriggerStay2D(Collider2D other) { }	DraggableItem.cs	code/Il2CppDumper/type_blocks/00026_DraggableItem.txt		signature only
26		DraggableItem	175E2D8	public void .ctor() { }	DraggableItem.cs	code/Il2CppDumper/type_blocks/00026_DraggableItem.txt		signature only
30		CellMergeCollider	175E9CC	public void .ctor() { }	CellMergeCollider.cs	code/Il2CppDumper/type_blocks/00030_CellMergeCollider.txt		signature only
86	Paxie	BaseSubscriber	176D4B0	public bool get_IsGameObjectDestroyed() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176D4B8	private void set_IsGameObjectDestroyed(bool value) { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176D4C0	public TutorialStepConfig get_ActiveTutorialStepConfig() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176D630	public TutorialIndex get_ActiveIndex() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176D6F0	public int get_SequentialTutorialMainIndex() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176D860	public SceneController.State get_GameState() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176C240	public TutorialController get_TutorialController() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176D864	public SceneController.State GetGameState() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176D964	public bool IsTutorialState() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176DA70	public bool IsTutorialActive() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176D4C4	public TutorialStepConfig GetActiveTutorialStep() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176D6F4	public TutorialIndex GetSequentialTutorialMainIndex() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176DB44	public RectTransform get_rectTransform() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176DBCC	public virtual void Awake() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176DC34	public virtual void Start() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
86	Paxie	BaseSubscriber	176DC38	public virtual void OnEnable() { }	Paxie/BaseSubscriber.cs	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt		signature only
