Caller	CallerRVA	CalleeRVA	Il2CppDumperCalleeName	CalleeSignature	PseudocodeFile
BoardItemChestSpawner.GetRandomItem	18C67C0	188610C	MergePuzzle.ChestSpawnerConfigAdaptor$$GetSpawnedItems	System_Collections_Generic_List_SpawnedItem__o* MergePuzzle_ChestSpawnerConfigAdaptor__GetSpawnedItems (MergePuzzle_ChestSpawnerConfigAdaptor_o* __this, const MethodInfo* method);	ghidra_expanded_pseudocode.c
BoardItemChestSpawner.GetRandomItem	18C67C0	18C66FC	MergePuzzle.BoardItemChestSpawner$$GetConfigAdaptor	MergePuzzle_ChestSpawnerConfigAdaptor_o* MergePuzzle_BoardItemChestSpawner__GetConfigAdaptor (MergePuzzle_BoardItemChestSpawner_o* __this, const MethodInfo* method);	ghidra_expanded_pseudocode.c
BoardItemChestSpawner.GetRandomItem	18C67C0	27F4BE0	System.Linq.GroupedEnumerable<object, int, object>$$.ctor	void System_Linq_GroupedEnumerable_object__int__object____ctor (System_Linq_GroupedEnumerable_TSource__TKey__TElement__o* __this, System_Collections_Generic_IEnumerable_TSource__o* source, System_Func_TSource__TKey__o* keySelector, System_Func_TSource__TElement__o* elementSelector, System_Collections_Generic_IEqualityComparer_TKey__o* comparer, const MethodInfo_27F4BE0* method);	ghidra_expanded_pseudocode.c
BoardItemChestSpawner.GetRandomItem	18C67C0	2842564	System.Linq.IdentityFunction<object>$$get_Instance	System_Func_TElement__TElement__o* System_Linq_IdentityFunction_object___get_Instance (const MethodInfo_2842564* method);	ghidra_expanded_pseudocode.c
BoardItemSpawnerData.GetRandomItem	18C7E90	18C09B0	MergePuzzle.SpawnerConfigAdaptor$$GetSpawnedItems	System_Collections_Generic_List_SpawnedItem__o* MergePuzzle_SpawnerConfigAdaptor__GetSpawnedItems (MergePuzzle_SpawnerConfigAdaptor_o* __this, const MethodInfo* method);	ghidra_expanded_pseudocode.c
BoardItemSpawnerData.GetRandomItem	18C7E90	18C6300	MergePuzzle.BoardItemSpawnerData$$GetConfigAdaptor	MergePuzzle_SpawnerConfigAdaptor_o* MergePuzzle_BoardItemSpawnerData__GetConfigAdaptor (MergePuzzle_BoardItemSpawnerData_o* __this, const MethodInfo* method);	ghidra_expanded_pseudocode.c
BoardItemSpawnerData.GetRandomItem	18C7E90	27F4BE0	System.Linq.GroupedEnumerable<object, int, object>$$.ctor	void System_Linq_GroupedEnumerable_object__int__object____ctor (System_Linq_GroupedEnumerable_TSource__TKey__TElement__o* __this, System_Collections_Generic_IEnumerable_TSource__o* source, System_Func_TSource__TKey__o* keySelector, System_Func_TSource__TElement__o* elementSelector, System_Collections_Generic_IEqualityComparer_TKey__o* comparer, const MethodInfo_27F4BE0* method);	ghidra_expanded_pseudocode.c
BoardItemSpawnerData.GetRandomItem	18C7E90	2842564	System.Linq.IdentityFunction<object>$$get_Instance	System_Func_TElement__TElement__o* System_Linq_IdentityFunction_object___get_Instance (const MethodInfo_2842564* method);	ghidra_expanded_pseudocode.c
BoardItemSpawnerData.ProcessOfflineCapacity	18C8A80	18A3DAC	Paxie.LogManager$$IsLoggingEnabled	bool Paxie_LogManager__IsLoggingEnabled (const MethodInfo* method);	ghidra_expanded_pseudocode.c
BoardItemSpawnerData.ProcessOfflineCapacity	18C8A80	18C6300	MergePuzzle.BoardItemSpawnerData$$GetConfigAdaptor	MergePuzzle_SpawnerConfigAdaptor_o* MergePuzzle_BoardItemSpawnerData__GetConfigAdaptor (MergePuzzle_BoardItemSpawnerData_o* __this, const MethodInfo* method);	ghidra_expanded_pseudocode.c
BoardItemPerishableSpawner.GetRandomItem	18CA538	18BF02C	MergePuzzle.PerishableSpawnerConfigAdaptor$$GetSpawnedItems	System_Collections_Generic_List_SpawnedItem__o* MergePuzzle_PerishableSpawnerConfigAdaptor__GetSpawnedItems (MergePuzzle_PerishableSpawnerConfigAdaptor_o* __this, bool useOriginalSetID, const MethodInfo* method);	ghidra_expanded_pseudocode.c
BoardItemPerishableSpawner.GetRandomItem	18CA538	18CA050	MergePuzzle.BoardItemPerishableSpawner$$GetConfigAdaptor	MergePuzzle_PerishableSpawnerConfigAdaptor_o* MergePuzzle_BoardItemPerishableSpawner__GetConfigAdaptor (MergePuzzle_BoardItemPerishableSpawner_o* __this, const MethodInfo* method);	ghidra_expanded_pseudocode.c
BoardItemPerishableSpawner.GetRandomItem	18CA538	27F4BE0	System.Linq.GroupedEnumerable<object, int, object>$$.ctor	void System_Linq_GroupedEnumerable_object__int__object____ctor (System_Linq_GroupedEnumerable_TSource__TKey__TElement__o* __this, System_Collections_Generic_IEnumerable_TSource__o* source, System_Func_TSource__TKey__o* keySelector, System_Func_TSource__TElement__o* elementSelector, System_Collections_Generic_IEqualityComparer_TKey__o* comparer, const MethodInfo_27F4BE0* method);	ghidra_expanded_pseudocode.c
BoardItemPerishableSpawner.GetRandomItem	18CA538	2842564	System.Linq.IdentityFunction<object>$$get_Instance	System_Func_TElement__TElement__o* System_Linq_IdentityFunction_object___get_Instance (const MethodInfo_2842564* method);	ghidra_expanded_pseudocode.c
