TypeDefIndex	Namespace	Type	Kind	Declaration	AssetRipperFile	ScopeReason	Il2CppDumperBlock	FieldCount	MethodCount
26		DraggableItem	class	public class DraggableItem : MonoBehaviour // TypeDefIndex: 26	DraggableItem.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00026_DraggableItem.txt	2	7
30		CellMergeCollider	class	public class CellMergeCollider : MonoBehaviour // TypeDefIndex: 30	CellMergeCollider.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00030_CellMergeCollider.txt	1	1
86	Paxie	BaseSubscriber	class	public class BaseSubscriber : MonoBehaviour, IEventReceiver<CanvasEvent.GameplayStatusUpdate>, IEventReceiverBase, IEventReceiver<CanvasEvent.TutorialScreenStatusChange> // TypeDefIndex: 86	Paxie/BaseSubscriber.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00086_BaseSubscriber.txt	4	30
87	Paxie	BaseSubscriberService	class	public class BaseSubscriberService : BaseSubscriber, IGameService // TypeDefIndex: 87	Paxie/BaseSubscriberService.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00087_BaseSubscriberService.txt	0	1
141		DataSaveWrapper.	struct	private struct DataSaveWrapper.<LoadDataFromLocalFileAsync>d__14<T> : IAsyncStateMachine // TypeDefIndex: 141	Paxie/DataSaveWrapper.cs	存档基础依赖	code/Il2CppDumper/type_blocks/00141_DataSaveWrapper..txt	4	0
142		DataSaveWrapper.	struct	private struct DataSaveWrapper.<SaveDataToLocalFileAsync>d__13 : IAsyncStateMachine // TypeDefIndex: 142	Paxie/DataSaveWrapper.cs	存档基础依赖	code/Il2CppDumper/type_blocks/00142_DataSaveWrapper..txt	5	2
143	Paxie	DataSaveWrapper	class	public static class DataSaveWrapper // TypeDefIndex: 143	Paxie/DataSaveWrapper.cs	存档基础依赖	code/Il2CppDumper/type_blocks/00143_DataSaveWrapper.txt	2	12
144		SaveWorker.	class	private sealed class SaveWorker.<>c__DisplayClass7_0 // TypeDefIndex: 144	Paxie/SaveWorker.cs	存档基础依赖	code/Il2CppDumper/type_blocks/00144_SaveWorker..txt	4	2
145	Paxie	SaveWorker	class	public class SaveWorker : MonoBehaviour // TypeDefIndex: 145	Paxie/SaveWorker.cs	存档基础依赖	code/Il2CppDumper/type_blocks/00145_SaveWorker.txt	3	8
171		Movable.Status	enum	public enum Movable.Status // TypeDefIndex: 171	Paxie/Movable.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00171_Movable.Status.txt	1	0
172		Movable.InteractionStatus	enum	public enum Movable.InteractionStatus // TypeDefIndex: 172	Paxie/Movable.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00172_Movable.InteractionStatus.txt	1	0
173		Movable.BoardActionType	enum	public enum Movable.BoardActionType // TypeDefIndex: 173	Paxie/Movable.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00173_Movable.BoardActionType.txt	1	0
174	Paxie	Movable	class	public class Movable : MonoBehaviour, IDragHandler, IEventSystemHandler, IBeginDragHandler, IEndDragHandler, IPointerClickHandler // TypeDefIndex: 174	Paxie/Movable.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00174_Movable.txt	6	16
198	Paxie	SerializableDictionary	class	public class SerializableDictionary // TypeDefIndex: 198	Paxie/SerializableDictionary.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00198_SerializableDictionary.txt	0	1
199		SerializableDictionary.SerializableKeyValuePair	struct	public struct SerializableDictionary.SerializableKeyValuePair<TKey, TValue> // TypeDefIndex: 199	Paxie/SerializableDictionary.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00199_SerializableDictionary.SerializableKeyValuePair.txt	2	0
200		SerializableDictionary.	class	private sealed class SerializableDictionary.<>c<TKey, TValue> // TypeDefIndex: 200	Paxie/SerializableDictionary.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00200_SerializableDictionary..txt	3	0
201	Paxie	SerializableDictionary	class	public class SerializableDictionary<TKey, TValue> : SerializableDictionary, ISerializationCallbackReceiver, IDictionary<TKey, TValue>, ICollection<KeyValuePair<TKey, TValue>>, IEnumerable<KeyValuePair<TKey, TValue>>, IEnumerable // TypeDefIndex: 201	Paxie/SerializableDictionary.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00201_SerializableDictionary.txt	2	0
209	Paxie	IEvent	interface	public interface IEvent // TypeDefIndex: 209	Paxie/IEvent.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00209_IEvent.txt	0	0
210	Paxie	IEventReceiverBase	interface	public interface IEventReceiverBase // TypeDefIndex: 210	Paxie/IEventReceiverBase.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00210_IEventReceiverBase.txt	0	0
211	Paxie	IEventReceiver	interface	public interface IEventReceiver<T> : IEventReceiverBase // TypeDefIndex: 211	Paxie/IEventReceiver.cs	关键类型的基类、接口、枚举或签名直接依赖	code/Il2CppDumper/type_blocks/00211_IEventReceiver.txt	0	0
344	Paxie.MergePuzzle	ItemControllerFactory	class	public class ItemControllerFactory // TypeDefIndex: 344	Paxie/MergePuzzle/ItemControllerFactory.cs	物品控制器工厂	code/Il2CppDumper/type_blocks/00344_ItemControllerFactory.txt	3	1
392		ItemCollectionElement.Type	enum	public enum ItemCollectionElement.Type // TypeDefIndex: 392	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00392_ItemCollectionElement.Type.txt	1	0
393		ItemCollectionElement.Delegates.Initialize	class	public sealed class ItemCollectionElement.Delegates.Initialize : MulticastDelegate // TypeDefIndex: 393	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00393_ItemCollectionElement.Delegates.Initialize.txt	0	4
394		ItemCollectionElement.Delegates.TypeChanged	class	public sealed class ItemCollectionElement.Delegates.TypeChanged : MulticastDelegate // TypeDefIndex: 394	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00394_ItemCollectionElement.Delegates.TypeChanged.txt	0	4
395		ItemCollectionElement.Delegates.Claim	class	public sealed class ItemCollectionElement.Delegates.Claim : MulticastDelegate // TypeDefIndex: 395	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00395_ItemCollectionElement.Delegates.Claim.txt	0	4
396		ItemCollectionElement.Delegates	class	public class ItemCollectionElement.Delegates // TypeDefIndex: 396	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00396_ItemCollectionElement.Delegates.txt	0	1
397	Paxie.MergePuzzle.ItemCollections.Model	ItemCollectionElement	class	public class ItemCollectionElement // TypeDefIndex: 397	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionElement.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00397_ItemCollectionElement.txt	7	21
401		ItemCollectionHandler.Delegates.Initialize	class	public sealed class ItemCollectionHandler.Delegates.Initialize : MulticastDelegate // TypeDefIndex: 401	Paxie/MergePuzzle/ItemCollections/Model/ItemCollectionHandler.cs	物品集合解锁与状态	code/Il2CppDumper/type_blocks/00401_ItemCollectionHandler.Delegates.Initialize.txt	0	4
