module	field	assignment_line	file	interpretation
Model.ConfigModel	m_dbTable	295	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_serverConfigs	296	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_generalConfigs	297	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_mapNeedRestartGeneralConfs	298	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_serverConfigs	302	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_configs	308	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_generalConfigs	602	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_mergedExtraProb	666	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_mergedExtraProb	667	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bNewUserSystem	680	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bNewUserSystem	681	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bLuckyProduceOpen	687	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_iLuckyProduceParam	690	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bLuckyProduceOpen	691	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bLuckyProduceOpen	693	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_iLuckyProduceParam	700	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_orderChangeLv	721	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_newUserOrderMaxLv	729	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_mergedExtraProb	776	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_mapBuildingExConfig	777	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_orderChangeLv	778	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_newUserOrderMaxLv	779	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bInteractLock	780	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_originBubblePriceMap	843	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_originLevelMap	844	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_originBubblePriceMap	906	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_originLevelMap	912	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bLackTboxToolHighLevelConfig	920	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bLackTboxToolHighLevelConfig	922	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_bLackTboxToolHighLevelConfig	925	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_mapBuildingExConfig	948	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
Model.ConfigModel	m_mapBuildingExConfig	949	code/Lua/decompiled/Model/ConfigModel.lua	assignment observed; dynamic field
