module	name	parameters	line	file	status
Common.GameConfig	GameConfig.IsTestMode		9	code/Lua/decompiled/Common/GameConfig.lua	unluac decompile; body in complete file
Common.GameConfig	GameConfig.GetCurrentVersion		13	code/Lua/decompiled/Common/GameConfig.lua	unluac decompile; body in complete file
Common.GameConfig	GameConfig.GetGameToken		17	code/Lua/decompiled/Common/GameConfig.lua	unluac decompile; body in complete file
Common.GameConfig	GameConfig.GetStagingMode		21	code/Lua/decompiled/Common/GameConfig.lua	unluac decompile; body in complete file
Common.GameConfig	GameConfig.IsGooglePlay		37	code/Lua/decompiled/Common/GameConfig.lua	unluac decompile; body in complete file
HuntActivity.HuntActivityDefinition	CreateActivityDefinition	activityType, prefix, overrideTable	3	code/Lua/decompiled/HuntActivity/HuntActivityDefinition.lua	unluac decompile; body in complete file
HuntMapActivity.HuntMapActivityDefinition	CreateActivityDefinition	activityType, prefix, overrideTable	68	code/Lua/decompiled/HuntMapActivity/HuntMapActivityDefinition.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:GetReplacesFilePath	path	259	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:GetFileSuffix	fileName	277	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:Init		293	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:LoadConfigs		306	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:GetLocalConfig	key, bRemoveRawConfig	347	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:_GetOriginalServerConfig	key	357	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:_ParseLoopControl	config	362	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:_ParseLoopDay	config	417	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:_SetConfigTime	config, start_time, end_time, release_time	494	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:_GetParsedServerConfig	key	500	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:GetServerConfig	key	517	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:GetServerConfigMD5	key	521	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:UpdateServerConfigs	data	526	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:_OnServerConfigChanged		556	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:GetSeverConfigEntries		562	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:IsServerControlOpen	key	579	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:GetCGConfig		587	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
Model.ConfigModel	ConfigModel:_UpdateGeneralConfigs		599	code/Lua/decompiled/Model/ConfigModel.lua	unluac decompile; body in complete file
