module	relevance	decompiled_file	bytecode_file	bytecode_bytes	bytecode_sha256	named_function_count	decompiled_lines
CloudsDash.CloudsDashDefinition	活动棋盘及状态依赖	code/Lua/decompiled/CloudsDash/CloudsDashDefinition.lua	code/Lua/bytecode/CloudsDash/CloudsDashDefinition.luac	2995	a4bede8a23355f9eed038486dc685f798ebb50fafefc230b2770e169d37aefe9	0	62
Common.GameConfig	直接依赖/验证代码	code/Lua/decompiled/Common/GameConfig.lua	code/Lua/bytecode/Common/GameConfig.luac	1549	33f4690136b9a6b9fd136e1bf48b2b65d763fcc260add8ea549132b8f3641829	5	40
Drop.DropDefinition	活动棋盘及状态依赖	code/Lua/decompiled/Drop/DropDefinition.lua	code/Lua/bytecode/Drop/DropDefinition.luac	1284	be382837a621f8f30539ae34c92d05ff35845f3cc97e9dfa5e3f7f2129dba3c0	0	21
FreefallActivity.FreefallActivityDefinition	活动棋盘及状态依赖	code/Lua/decompiled/FreefallActivity/FreefallActivityDefinition.lua	code/Lua/bytecode/FreefallActivity/FreefallActivityDefinition.luac	3994	9ad253159241ae1e7dc4b2ac8abfa9f550e35742658acfc26d62ad1f383082bb	0	62
HuntActivity.HuntActivityDefinition	活动棋盘及状态依赖	code/Lua/decompiled/HuntActivity/HuntActivityDefinition.lua	code/Lua/bytecode/HuntActivity/HuntActivityDefinition.luac	8840	75258050de0723370553ea637382d70fb9562db6e06cd7029fc909910d4c58f9	1	244
HuntMapActivity.HuntMapActivityDefinition	活动棋盘及状态依赖	code/Lua/decompiled/HuntMapActivity/HuntMapActivityDefinition.lua	code/Lua/bytecode/HuntMapActivity/HuntMapActivityDefinition.luac	10112	e7253a7f04b227c91d8777bb8d566212a3c62e309ad51df0bb4277d117a43d02	1	143
Model.ConfigModel	直接依赖/验证代码	code/Lua/decompiled/Model/ConfigModel.lua	code/Lua/bytecode/Model/ConfigModel.luac	51231	1528a857d34f8b636793ae41618321d08b3395e7997fade8095c300907fb1901	64	1119
Model.GameModel	直接依赖/验证代码	code/Lua/decompiled/Model/GameModel.lua	code/Lua/bytecode/Model/GameModel.luac	25050	47cf2dda5d963e07a3d083a6fd5b139c4cbd9e03afca30c6c4437665f60f6bb0	34	508
Model.MapDataModel	直接依赖/验证代码	code/Lua/decompiled/Model/MapDataModel.lua	code/Lua/bytecode/Model/MapDataModel.luac	64122	0bbd1365ac6ee22db37cc546873fbb483ef70223da2b1e33b13e3b1682917db4	94	1416
Model.OpenFunctionModel	直接依赖/验证代码	code/Lua/decompiled/Model/OpenFunctionModel.lua	code/Lua/bytecode/Model/OpenFunctionModel.luac	5967	045479701b4ae6cb7453eee3451c8ec4eee39cd710dfc79b2ec45416a03b624d	11	137
