caller_file,caller_type,caller_method,caller_rva,callee_names,callee_rva,branch,count,callee_retained_files
scripts/asmdef_conf_fat/fat/rawdata/EventFestBoard.cs,fat.rawdata.EventFestBoard,.ctor,0x15bd1a4,ProtoBaseProxy<object>$$.ctor,0x35b33f4,bl,1,
scripts/asmdef_conf_fat/fat/rawdata/EventFestBoard.cs,fat.rawdata.EventFestBoard,.ctor,0x15bd290,fat.rawdata.EventFestBoard$$.ctor,0x15bd1a4,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFestBoard.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFestBoard.cs,fat.rawdata.EventFestBoard,Clone,0x15bd364,fat.rawdata.EventFestBoard$$.ctor,0x15bd290,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFestBoard.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFight.cs,fat.rawdata.EventFight,.ctor,0x15beec0,ProtoBaseProxy<object>$$.ctor,0x35b33f4,bl,1,
scripts/asmdef_conf_fat/fat/rawdata/EventFight.cs,fat.rawdata.EventFight,.ctor,0x15bf038,fat.rawdata.EventFight$$.ctor,0x15beec0,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFight.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFight.cs,fat.rawdata.EventFight,Clone,0x15bf190,fat.rawdata.EventFight$$.ctor,0x15bf038,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFight.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFightDetail.cs,fat.rawdata.EventFightDetail,.ctor,0x15bfba8,ProtoBaseProxy<object>$$.ctor,0x35b33f4,bl,1,
scripts/asmdef_conf_fat/fat/rawdata/EventFightDetail.cs,fat.rawdata.EventFightDetail,.ctor,0x15bfd2c,fat.rawdata.EventFightDetail$$.ctor,0x15bfba8,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFightDetail.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFightDetail.cs,fat.rawdata.EventFightDetail,Clone,0x15bfe7c,fat.rawdata.EventFightDetail$$.ctor,0x15bfd2c,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFightDetail.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFightLevel.cs,fat.rawdata.EventFightLevel,.ctor,0x15c0744,ProtoBaseProxy<object>$$.ctor,0x35b33f4,bl,1,
scripts/asmdef_conf_fat/fat/rawdata/EventFightLevel.cs,fat.rawdata.EventFightLevel,.ctor,0x15c08cc,fat.rawdata.EventFightLevel$$.ctor,0x15c0744,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFightLevel.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFightLevel.cs,fat.rawdata.EventFightLevel,Clone,0x15c0a20,fat.rawdata.EventFightLevel$$.ctor,0x15c08cc,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFightLevel.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFish.cs,fat.rawdata.EventFish,.ctor,0x15c5c6c,ProtoBaseProxy<object>$$.ctor,0x35b33f4,bl,1,
scripts/asmdef_conf_fat/fat/rawdata/EventFish.cs,fat.rawdata.EventFish,.ctor,0x15c5dd0,fat.rawdata.EventFish$$.ctor,0x15c5c6c,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFish.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFish.cs,fat.rawdata.EventFish,Clone,0x15c5f04,fat.rawdata.EventFish$$.ctor,0x15c5dd0,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFish.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFishDetail.cs,fat.rawdata.EventFishDetail,.ctor,0x15c68d4,ProtoBaseProxy<object>$$.ctor,0x35b33f4,bl,1,
scripts/asmdef_conf_fat/fat/rawdata/EventFishDetail.cs,fat.rawdata.EventFishDetail,.ctor,0x15c6a58,fat.rawdata.EventFishDetail$$.ctor,0x15c68d4,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFishDetail.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFishDetail.cs,fat.rawdata.EventFishDetail,Clone,0x15c6ba8,fat.rawdata.EventFishDetail$$.ctor,0x15c6a58,bl,1,scripts/asmdef_conf_fat/fat/rawdata/EventFishDetail.cs
scripts/asmdef_conf_fat/fat/rawdata/EventFishMilestone.cs,fat.rawdata.EventFishMilestone,.ctor,0x15c8704,ProtoBaseProxy<object>$$.ctor,0x35b33f4,bl,1,
