file,namespace,types,reason,bytes,sha256
scripts/asmdef_conf_fat/fat/conf/Data.cs,fat.conf,Data,核心配置访问器,642667,f1ba16a41ed2e5204a7656c1aceedf6cf7fd1badb98f7e764d6e46b1a70b32db
scripts/asmdef_conf_fat/fat/gamekitdata/AnyState.cs,fat.gamekitdata,AnyState,二合存档协议,547,0833efcefa7ff1e4918f47dda54f62f82fd40e1fa68dee668b706b165d4a374a
scripts/asmdef_conf_fat/fat/gamekitdata/ComActiveSource.cs,fat.gamekitdata,ComActiveSource,二合存档协议,575,6ed4a10ee0527153ee47e0b152e95f2d2acf9e14ef547007ba0c40b99a835f3a
scripts/asmdef_conf_fat/fat/gamekitdata/ComActivity.cs,fat.gamekitdata,ComActivity,二合存档协议,582,23dc53425cbdcd50ef358d996f6afdf431e3a703e544af146cdff1d0da512474
scripts/asmdef_conf_fat/fat/gamekitdata/ComActivityToken.cs,fat.gamekitdata,ComActivityToken,二合存档协议,719,355f3bc007b5ed8deefc9f0987a0dc4785b81f554ecbb8efb913c5572aa8af66
scripts/asmdef_conf_fat/fat/gamekitdata/ComAutoSource.cs,fat.gamekitdata,ComAutoSource,二合存档协议,696,31d3c87667a002d7e3f8665dea131c816b18516503cf9af60893acec6fdc4a27
scripts/asmdef_conf_fat/fat/gamekitdata/ComBox.cs,fat.gamekitdata,ComBox,二合存档协议,521,95aaf722199af8b32d48c198b6cc8bc5b20200e9d4b0d13896d1dc4ed29a3264
scripts/asmdef_conf_fat/fat/gamekitdata/ComBubble.cs,fat.gamekitdata,ComBubble,二合存档协议,576,12cf4a0043180b8182b5ea33d76f42f7d7ae5fbdb5bc47454cc952e8c3add5e2
scripts/asmdef_conf_fat/fat/gamekitdata/ComChest.cs,fat.gamekitdata,ComChest,二合存档协议,556,e41116975873f79f22cc4cf4d3aca5c757894797a910c3a0872af537db490620
scripts/asmdef_conf_fat/fat/gamekitdata/ComChoiceBox.cs,fat.gamekitdata,ComChoiceBox,二合存档协议,978,9456da9b45e58eb938bb9637f86b3480e782de0df7bbeb8fa0913d4c7b9eca42
scripts/asmdef_conf_fat/fat/gamekitdata/ComClickSource.cs,fat.gamekitdata,ComClickSource,二合存档协议,877,6a2e9b7bebd5edacc9e5ca6fd8c3bd8daa3172b4248436bda6b5a4a90883dcdc
scripts/asmdef_conf_fat/fat/gamekitdata/ComEatingSource.cs,fat.gamekitdata,ComEatingSource,二合存档协议,845,8cacc22d8cd7e703c189216b9be9714a1b65ab23b2db90fe065c78a783778eb8
scripts/asmdef_conf_fat/fat/gamekitdata/ComMixSource.cs,fat.gamekitdata,ComMixSource,二合存档协议,857,3d9a2913f932c0024cf9903c9db399d162b3c5e15df00137f0e0e2be2f3f57cc
scripts/asmdef_conf_fat/fat/gamekitdata/ComSkill.cs,fat.gamekitdata,ComSkill,二合存档协议,563,77e621e3b315d96cb0927bb69803e11e883f98e9150293b684d7e6d13499d53e
scripts/asmdef_conf_fat/fat/gamekitdata/ComSpecialBox.cs,fat.gamekitdata,ComSpecialBox,二合存档协议,563,b42d9021ef492955a80b3e3290d9154cca0552b3e68554fe19b4ee0c9cf90e52
scripts/asmdef_conf_fat/fat/gamekitdata/ComToolSource.cs,fat.gamekitdata,ComToolSource,二合存档协议,590,8579741f30a3f5ff16103b200970cfd6f511ba64655b4d4de649028c438461da
scripts/asmdef_conf_fat/fat/gamekitdata/ComTrigSource.cs,fat.gamekitdata,ComTrigSource,二合存档协议,566,3cd97813ec0dc105531401b875d4b3adec950c340d3867cae0353609009ddb29
