type,signature,reason
FAT.IActivityCupChallengeTaskJump,"public abstract void JumpTask(int param1, int param2);",Il2CppDumper RVA = -1; no native address
FAT.ActivityLike,public abstract void SaveSetup(ActivityInstance data_);,Il2CppDumper RVA = -1; no native address
FAT.ActivityLike,public abstract void LoadSetup(ActivityInstance data_);,Il2CppDumper RVA = -1; no native address
FAT.ActivityLike,public abstract void Open();,Il2CppDumper RVA = -1; no native address
FAT.ActivityLike,public UniTask<T> OpenAsync<T>(in VisualPopup vi_) { },Il2CppDumper RVA = -1; no native address
FAT.ActivityLike,public UniTask<T> OpenAsync<T>(in VisualRes vi_) { },Il2CppDumper RVA = -1; no native address
FAT.ActivityLike,public UniTask<T> OpenAsync<T>(UIResAlt ui_) { },Il2CppDumper RVA = -1; no native address
FAT.ActivityLike,public static UniTask<T> OpenResAsync<T>(UIResAlt ui_) { },Il2CppDumper RVA = -1; no native address
FAT.ActivityLike,"public static UniTask<T> OpenResAsync<T>(UIResource ui_, ActivityLike acti_) { }",Il2CppDumper RVA = -1; no native address
FAT.ActivityLite,public abstract bool get_Valid();,Il2CppDumper RVA = -1; no native address
FAT.ActivityLite,"public abstract void Setup(LiteInfo info_, EventType type_);",Il2CppDumper RVA = -1; no native address
FAT.ActivityLite,"public abstract ValueTuple<long, long> SetupTS(long sTS_, long eTS_);",Il2CppDumper RVA = -1; no native address
FAT.ActivityLite,public abstract void Clear();,Il2CppDumper RVA = -1; no native address
FAT.IActivityUpdate,public abstract void ActivityUpdate(float dt);,Il2CppDumper RVA = -1; no native address
FAT.IBoardBoostHost,public abstract int get_TokenNum();,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityHandbook,public abstract bool CheckIsBoardItem(int itemId);,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityHandbook,public abstract void OnNewItemUnlock();,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityHandbook,public abstract void OnNewItemShow(MBItemView itemView);,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityHandbook,public abstract bool CheckClaimBoardCategoryReward(int categoryId);,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityHandbook,public abstract bool CheckClaimBoardHandBookAllReward();,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityHandbook,public abstract bool ProcessAllUnlockReward();,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityOutput,public abstract BoardActivityOutputType get_OutputType();,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityOutput,public abstract BoardActivityOutputMethod get_OutputMethod();,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityOutput,public abstract void RefreshOutputType();,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityOutput,public abstract void RefreshOutputMethod();,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityRowConf,public abstract IList<int> GetRowConfIdList(int detailId);,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityRowConf,public abstract string GetRowConfStr(int rowId);,Il2CppDumper RVA = -1; no native address
FAT.IBoardActivityRowConf,public abstract int GetCycleStartRowId(int detailId);,Il2CppDumper RVA = -1; no native address
FAT.IBoardArchive,public abstract FeatureEntry get_Feature();,Il2CppDumper RVA = -1; no native address
FAT.IBoardArchive,public abstract void SetBoardData(Merge data);,Il2CppDumper RVA = -1; no native address
FAT.IBoardArchive,public abstract void FillBoardData(Merge data);,Il2CppDumper RVA = -1; no native address
FAT.IBoardExtremeAdapter,public abstract Board GetBoard();,Il2CppDumper RVA = -1; no native address
FAT.IBoardExtremeAdapter,public abstract bool CanCheckExtreme();,Il2CppDumper RVA = -1; no native address
FAT.IBoardMainChainSource,public abstract int get_MainCategoryId();,Il2CppDumper RVA = -1; no native address
FAT.IBoardMoveAdapter,public abstract int GetMoveNeedRowCount(int detailId);,Il2CppDumper RVA = -1; no native address
FAT.IBoardMoveAdapter,public abstract int GetMoveCountByRowId(int rowId);,Il2CppDumper RVA = -1; no native address
FAT.IBoardMoveAdapter,public abstract Board GetBoard();,Il2CppDumper RVA = -1; no native address
