typedef_index,image,namespace,type_name,declaration,selection_reason,generated_csharp_file,metadata_block_file,arm64_file,method_count,native_rva_count,ghidra_method_count,generic_native_instantiation_count,generated_csharp_sha256,bounded_method_count
33,TravelTown.Main.dll,,BoardTransitionPayload,public class BoardTransitionPayload,声明的基类/接口,generated_csharp/TravelTown.Main/BoardTransitionPayload.cs,metadata_blocks/TravelTown.Main/TypeDef_000033.txt,native_arm64/TravelTown.Main/000033_BoardTransitionPayload.s,1,1,0,0,598e3006d1bc7086d2eb7a428e63f9d2629a78184ff2c18fd8206e6b511991a5,0
89,TravelTown.Main.dll,MergeEngine,IItemsEntityService,public interface IItemsEntityService,声明的基类/接口,generated_csharp/TravelTown.Main/MergeEngine/IItemsEntityService.cs,metadata_blocks/TravelTown.Main/TypeDef_000089.txt,,1,0,0,0,a089e3e9e91a0141280b76aab55d538b2a0425db25cb514e56b661448e145eb8,0
90,TravelTown.Main.dll,,BoardUtil.<>c,private sealed class BoardUtil.<>c,同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/BoardUtil.cs,metadata_blocks/TravelTown.Main/TypeDef_000090.txt,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,10,10,0,0,95987592caa69465891d2fefdbb66c8b7c265962020c2be4298115a567fc027a,0
91,TravelTown.Main.dll,MergeEngine.Util,BoardUtil,public static class BoardUtil,棋盘数据与工具,generated_csharp/TravelTown.Main/MergeEngine/Util/BoardUtil.cs,metadata_blocks/TravelTown.Main/TypeDef_000091.txt,native_arm64/TravelTown.Main/000091_BoardUtil.s,9,9,0,0,95987592caa69465891d2fefdbb66c8b7c265962020c2be4298115a567fc027a,0
93,TravelTown.Main.dll,,ItemSpawningQueue.<>c,private sealed class ItemSpawningQueue.<>c,同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/ItemSpawningQueue.cs,metadata_blocks/TravelTown.Main/TypeDef_000093.txt,native_arm64/TravelTown.Main/000093_ItemSpawningQueue_c.s,14,14,0,0,9e80fa1c6870def3eebe291cbc287effa3ad50be5239bfca43409f010a87bca7,0
94,TravelTown.Main.dll,,ItemSpawningQueue.<>c__DisplayClass16_0,private sealed class ItemSpawningQueue.<>c__DisplayClass16_0,同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/ItemSpawningQueue.cs,metadata_blocks/TravelTown.Main/TypeDef_000094.txt,native_arm64/TravelTown.Main/000094_ItemSpawningQueue_c__DisplayClass16_0.s,2,2,0,0,9e80fa1c6870def3eebe291cbc287effa3ad50be5239bfca43409f010a87bca7,0
95,TravelTown.Main.dll,,ItemSpawningQueue.<>c__DisplayClass16_1,private sealed class ItemSpawningQueue.<>c__DisplayClass16_1,同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/ItemSpawningQueue.cs,metadata_blocks/TravelTown.Main/TypeDef_000095.txt,native_arm64/TravelTown.Main/000095_ItemSpawningQueue_c__DisplayClass16_1.s,2,2,0,0,9e80fa1c6870def3eebe291cbc287effa3ad50be5239bfca43409f010a87bca7,0
96,TravelTown.Main.dll,,ItemSpawningQueue.<>c__DisplayClass17_0,private sealed class ItemSpawningQueue.<>c__DisplayClass17_0,同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/ItemSpawningQueue.cs,metadata_blocks/TravelTown.Main/TypeDef_000096.txt,native_arm64/TravelTown.Main/000096_ItemSpawningQueue_c__DisplayClass17_0.s,3,3,0,0,9e80fa1c6870def3eebe291cbc287effa3ad50be5239bfca43409f010a87bca7,0
97,TravelTown.Main.dll,,ItemSpawningQueue.<>c__DisplayClass17_1,private sealed class ItemSpawningQueue.<>c__DisplayClass17_1,同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/ItemSpawningQueue.cs,metadata_blocks/TravelTown.Main/TypeDef_000097.txt,native_arm64/TravelTown.Main/000097_ItemSpawningQueue_c__DisplayClass17_1.s,2,2,0,0,9e80fa1c6870def3eebe291cbc287effa3ad50be5239bfca43409f010a87bca7,0
98,TravelTown.Main.dll,,ItemSpawningQueue.<>c__DisplayClass17_2,private sealed class ItemSpawningQueue.<>c__DisplayClass17_2,同一完整脚本,generated_csharp/TravelTown.Main/MergeEngine/Util/ItemSpawningQueue.cs,metadata_blocks/TravelTown.Main/TypeDef_000098.txt,native_arm64/TravelTown.Main/000098_ItemSpawningQueue_c__DisplayClass17_2.s,2,2,0,0,9e80fa1c6870def3eebe291cbc287effa3ad50be5239bfca43409f010a87bca7,0
