typedef_index,image,namespace,type_name,signature_from_dump,rva,metadata_status,native_status,native_byte_count,native_sha256,rva_in_script_address_index,arm64_file,ghidra_pseudoc_file,bounded_pseudoc_file
33,TravelTown.Main.dll,,BoardTransitionPayload,public void .ctor(string reason) { },0x5FD4240,RVA_and_signature,arm64_complete_bound,48,91cae0424d4f2d862694b6924fd1e2b7da91eb203de9d61a5b7ded438218cb95,True,native_arm64/TravelTown.Main/000033_BoardTransitionPayload.s,,
89,TravelTown.Main.dll,MergeEngine,IItemsEntityService,"public abstract void TryLoadSharedItemComponents(Entity entity, ItemPayloadBase item);",,signature_only,signature_only,0,,False,,,
90,TravelTown.Main.dll,,BoardUtil.<>c,private static void .cctor() { },0x5FE84A0,RVA_and_signature,arm64_complete_bound,104,73ce38fc0f73d46c274894f2500e36379b2783c18d78275cd7daaea5fef10296,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
90,TravelTown.Main.dll,,BoardUtil.<>c,public void .ctor() { },0x5FE8508,RVA_and_signature,arm64_complete_bound,8,b24c8ae9b0fa15c56afc61651cdec56fc719162fa9e0862f9df62cce4fe1657a,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
90,TravelTown.Main.dll,,BoardUtil.<>c,internal bool <AnyItemsCanBeProduced>b__0_0(ITimeCycleComponent component) { },0x5FE8510,RVA_and_signature,arm64_complete_bound,172,013b26007af67ab6c4b9f5e9c672d57d4da02c49d045b6cd8a8ba7dcbba4fbc7,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
90,TravelTown.Main.dll,,BoardUtil.<>c,internal bool <GetProducerThatCanProduce>b__1_0(ITimeCycleComponent component) { },0x5FE85BC,RVA_and_signature,arm64_complete_bound,172,a50eb6cbd58d4dfcafb09ad5ca29c50d21ed02abc31be31cf3514d9647dbced8,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
90,TravelTown.Main.dll,,BoardUtil.<>c,internal string <HasUnmergedProducersOnBoard>b__2_0(ITimeCycleComponent producer) { },0x5FE8668,RVA_and_signature,arm64_complete_bound,192,af939d866647a7da85bb3321e0510b48245c8bab4b79bf0093d299063d5f3dce,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
90,TravelTown.Main.dll,,BoardUtil.<>c,"internal bool <HasUnmergedProducersOnBoard>b__2_1(IGrouping<string, ITimeCycleComponent> g) { }",0x5FE8728,RVA_and_signature,arm64_complete_bound,84,f4f989f38552737ea5f67ad3e0c0661be26fcd8f66b3d17893b6aba7b81b5397,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
90,TravelTown.Main.dll,,BoardUtil.<>c,internal bool <HasToolsOnBoard>b__3_0(CollectableComponent component) { },0x5FE877C,RVA_and_signature,arm64_complete_bound,24,10e32633d20cce1f0d23f16c8ac201c3bbc94caf0b38186c468f534be3329637,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
90,TravelTown.Main.dll,,BoardUtil.<>c,internal bool <GetFirstToolOnBoard>b__4_0(CollectableComponent component) { },0x5FE8794,RVA_and_signature,arm64_complete_bound,24,c2c1b739cfd879ff55dbef65984a97d9aeaa602c40f3187b43252cdfec2d0b9f,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
90,TravelTown.Main.dll,,BoardUtil.<>c,internal bool <GetTimeCycleComponents>b__5_0(PositionComponent component) { },0x5FE87AC,RVA_and_signature,arm64_complete_bound,92,015b511ed76e5882ae4937e887d2bec9869821850c0ca0ca0d1cf5bdf4b7b669,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
90,TravelTown.Main.dll,,BoardUtil.<>c,internal IEnumerable<ITimeCycleComponent> <GetTimeCycleComponents>b__5_1(PositionComponent comp) { },0x5FE8808,RVA_and_signature,arm64_complete_bound,80,3f9a454331ecef33428fb513ad9f06a3846a69bc92c2f113b5a9b39885e11d38,True,native_arm64/TravelTown.Main/000090_BoardUtil_c.s,,
91,TravelTown.Main.dll,MergeEngine.Util,BoardUtil,public static bool AnyItemsCanBeProduced(IEntityManager entityManager) { },0x5FE7918,RVA_and_signature,arm64_complete_bound,268,5e37ec454ac2227460df8d4b44ecfb6fbee5b23aa57e773c5567ed4c1a3cbfc9,True,native_arm64/TravelTown.Main/000091_BoardUtil.s,,
91,TravelTown.Main.dll,MergeEngine.Util,BoardUtil,public static ITimeCycleComponent GetProducerThatCanProduce(IEntityManager entityManager) { },0x5FE7BF0,RVA_and_signature,arm64_complete_bound,268,7866f1021fe1ad30822e8e4bc2ca4419976f49065a86e40b699d8d273c9b9cf5,True,native_arm64/TravelTown.Main/000091_BoardUtil.s,,
91,TravelTown.Main.dll,MergeEngine.Util,BoardUtil,public static bool HasUnmergedProducersOnBoard(IEntityManager entityManager) { },0x5FE7CFC,RVA_and_signature,arm64_complete_bound,460,6d8083b8de585386d3a8352e49e40128b01c580e62c4876909242d50ba5424f4,True,native_arm64/TravelTown.Main/000091_BoardUtil.s,,
91,TravelTown.Main.dll,MergeEngine.Util,BoardUtil,public static bool HasToolsOnBoard(IEntityManager entityManager) { },0x5FE7EC8,RVA_and_signature,arm64_complete_bound,412,a105e9c10f62f1083fbfda63bf5fd34c2584e54ac02496a5c668f788f3bac168,True,native_arm64/TravelTown.Main/000091_BoardUtil.s,,
91,TravelTown.Main.dll,MergeEngine.Util,BoardUtil,public static CollectableComponent GetFirstToolOnBoard(IEntityManager entityManager) { },0x5FE8064,RVA_and_signature,arm64_complete_bound,412,623be3c7a6207a8edb226822868744bf61606fa0eb90078ad11b4e78b52b20b3,True,native_arm64/TravelTown.Main/000091_BoardUtil.s,,
91,TravelTown.Main.dll,MergeEngine.Util,BoardUtil,private static IEnumerable<ITimeCycleComponent> GetTimeCycleComponents(IEntityManager entityManager) { },0x5FE7A24,RVA_and_signature,arm64_complete_bound,460,90a0548ec61b8d29e16f519f28b37223600ca573fa9b3c8582103dc34c4bfda8,True,native_arm64/TravelTown.Main/000091_BoardUtil.s,,
91,TravelTown.Main.dll,MergeEngine.Util,BoardUtil,public static IEnumerable<PositionComponent> GetUnlockedComponents(IEntityManager entityManager) { },0x5FE8200,RVA_and_signature,arm64_complete_bound,404,3c6c97b471622938ffaac535ea635f70e36d171a7f2d51f86ba50d2a3076c03a,True,native_arm64/TravelTown.Main/000091_BoardUtil.s,,
