caller_rva,caller_type_indices,callee_rva,callee_type_index,callee_namespace,callee_type,callee_signature,callee_selected
0x3BD97D0,25984,0x3DC33E4,33702,ContextualizedECS.Context,TickArgs,ContextualizedECS.Context.TickArgs$$AddArgument<object>,True
0x3BD97D0,25984,0x5F157BC,33702,ContextualizedECS.Context,TickArgs,public void .ctor() { },True
0x3BD9860,25984,0x5F157BC,33702,ContextualizedECS.Context,TickArgs,public void .ctor() { },True
0x3BD9860,25984,0x6A9B560,25984,Merger.MergeBoard.Controller,BoardController,private void TickSystems(TickArgs inArgs) { },True
0x3BD9990,9136,0x3BD9C50,9136,Merger.Game.Views.BoardItem,BoardItemView2,Merger.Game.Views.BoardItem.BoardItemView2$$AttachBehaviourFromPool<object>,True
0x3BD9990,9136,0x3BD9D68,9136,Merger.Game.Views.BoardItem,BoardItemView2,Merger.Game.Views.BoardItem.BoardItemView2$$AttachBehaviourFromPrefab<object>,True
0x3BD9990,9136,0x673105C,9136,Merger.Game.Views.BoardItem,BoardItemView2,public void NotifyBehaviourAdded() { },True
0x3BD9C50,9136,0x67309D0,9136,Merger.Game.Views.BoardItem,BoardItemView2,"private void RegisterBehaviour(IBoardItemViewBehaviour behaviour, Type behaviourType, bool isPersistent, bool initialize = True) { }",True
0x3BD9D68,9136,0x67309D0,9136,Merger.Game.Views.BoardItem,BoardItemView2,"private void RegisterBehaviour(IBoardItemViewBehaviour behaviour, Type behaviourType, bool isPersistent, bool initialize = True) { }",True
0x3BDAF14,7779,0x4B0F7B0,7777,,BoosterModel.<>c__DisplayClass50_0<T>,Merger.Boosters.Models.BoosterModel.<>c__DisplayClass50_0<object>$$.ctor,True
0x3C148DC,33695,0x3C1B8D8,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<DeadComponent>,True
0x3C14940,33695,0x3C1B8D8,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<DeadComponent>,True
0x3C149A4,33695,0x3C1B8D8,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<DeadComponent>,True
0x3C14A08,33695,0x3C1B8D8,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<DeadComponent>,True
0x3C14A6C,33695,0x3C1B8D8,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<DeadComponent>,True
0x3C14AD0,33695,0x3C1BD00,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<MoveBlockComponent>,True
0x3C14B34,33695,0x3C1BE30,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<ProducerComponent>,True
0x3C14C04,33695,0x3C1B840,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<CooldownBlockComponent>,True
0x3C14C04,33695,0x3C1B8D8,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<DeadComponent>,True
0x3C14C7C,33695,0x3C1B8D8,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<DeadComponent>,True
0x3C14C7C,33695,0x3C1BD00,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$HasComponent<MoveBlockComponent>,True
0x3C14D78,33695,0x3C1E2E4,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<BoardTilePositionComponent>,True
0x3C14E18,33695,0x3C1E3F0,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<BornComponent>,True
0x3C14EB8,33695,0x3C1E95C,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<DeadComponent>,True
0x3C14F58,33695,0x3C1EDCC,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<IdComponent>,True
0x3C15038,33695,0x3C1F364,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<ItemMovedComponent>,True
0x3C150D8,33695,0x3C1FC04,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<TimeCycleComponent>,True
0x3C151BC,33695,0x3C1FF44,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<TimeLockComponent>,True
0x3C15424,33695,0x3C1E2E4,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<BoardTilePositionComponent>,True
0x3C15424,33695,0x3C1E508,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<BoxComponent>,True
0x3C154FC,33695,0x3C1E2E4,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<BoardTilePositionComponent>,True
0x3C154FC,33695,0x3C1EDCC,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<IdComponent>,True
0x3C155F4,33695,0x3C1E2E4,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<BoardTilePositionComponent>,True
0x3C155F4,33695,0x3C1F57C,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<MergeComponent>,True
0x3C156B8,33695,0x3C1E2E4,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<BoardTilePositionComponent>,True
0x3C156B8,33695,0x3C1FC04,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<TimeCycleComponent>,True
0x3C157BC,33695,0x3C1E2E4,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<BoardTilePositionComponent>,True
0x3C157BC,33695,0x3C1FF44,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<TimeLockComponent>,True
0x3C158B4,33695,0x3C1E3F0,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<BornComponent>,True
0x3C158B4,33695,0x3C1EDCC,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<IdComponent>,True
0x3C159AC,33695,0x3C1E72C,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<CollectableComponent>,True
0x3C159AC,33695,0x3C1EDCC,33678,ContextualizedECS,Entity,ContextualizedECS.Entity$$TryGetComponent<IdComponent>,True
